raceId,driverId,stop,lap,time,duration,milliseconds
1100,839,1,1,15:05:04,18.056,18056
1100,855,1,1,15:05:11,18.951,18951
1100,858,1,1,15:05:13,18.382,18382
1100,815,1,1,15:05:15,17.657,17657
1100,822,1,1,15:05:16,21.659,21659
1100,858,2,2,15:07:25,19.158,19158
1100,815,2,2,15:07:26,17.814,17814
1100,847,1,7,15:15:01,19.146,19146
1100,832,1,7,15:15:05,18.319,18319
1100,825,1,7,15:15:21,20.789,20789
1100,1,1,8,15:17:43,15:25.181,925181
1100,830,1,8,15:17:45,15:25.112,925112
1100,4,1,8,15:17:48,15:26.940,926940
1100,840,1,8,15:17:51,15:27.222,927222
1100,842,1,8,15:17:53,15:26.996,926996
1100,807,1,8,15:17:55,15:26.326,926326
1100,847,2,8,15:17:59,15:30.824,930824
1100,852,1,8,15:18:02,15:31.820,931820
1100,846,1,8,15:18:04,15:34.763,934763
1100,857,1,8,15:18:06,15:34.541,934541
1100,832,2,8,15:18:08,15:37.024,937024
1100,856,1,8,15:18:11,15:37.874,937874
1100,839,2,8,15:18:14,15:37.929,937929
1100,815,3,8,15:18:16,15:37.512,937512
1100,855,2,8,15:18:19,15:37.849,937849
1100,822,2,8,15:18:21,15:37.594,937594
1100,858,3,8,15:18:23,15:38.017,938017
1100,825,2,8,15:18:27,15:40.228,940228
1100,858,4,36,16:15:29,19.018,19018
1100,856,2,45,16:28:14,18.080,18080
1100,822,3,53,16:39:03,19.825,19825
1100,857,2,54,16:40:06,19.442,19442
1100,855,3,54,16:40:31,21.881,21881
1100,852,2,54,16:40:36,18.258,18258
1100,830,2,55,16:41:38,14:27.756,867756
1100,1,2,55,16:41:40,14:31.670,871670
1100,4,2,55,16:41:42,14:34.306,874306
1100,822,4,54,16:41:44,12:19.342,739342
1100,832,3,55,16:41:45,14:34.924,874924
1100,842,2,55,16:41:47,14:35.210,875210
1100,840,2,55,16:41:50,14:35.053,875053
1100,815,4,55,16:41:53,14:36.462,876462
1100,858,5,54,16:41:54,12:12.022,732022
1100,846,2,55,16:41:56,14:41.064,881064
1100,807,2,55,16:41:58,14:40.712,880712
1100,856,3,54,16:42:01,12:06.783,726783
1100,839,3,55,16:42:03,14:39.804,879804
1100,857,3,55,16:42:20,14:24.653,864653
1100,855,4,55,16:42:47,14:01.565,841565
1100,852,3,55,16:42:52,14:01.820,841820
1100,822,5,55,16:55:40,1:16.634,76634
1100,858,6,55,16:55:45,1:14.200,74200
1100,856,4,55,16:55:47,1:13.234,73234
1100,830,3,57,17:02:10,30:56.502,1856502
1100,1,3,57,17:02:11,30:59.435,1859435
1100,832,4,57,17:02:13,31:01.554,1861554
1100,807,3,57,17:02:14,31:09.055,1869055
1100,852,4,57,17:02:16,31:11.209,1871209
1100,846,3,57,17:02:17,31:04.087,1864087
1100,857,4,57,17:02:19,31:06.226,1866226
1100,855,5,57,17:02:22,31:04.998,1864998
1100,822,6,57,17:02:23,31:07.182,1867182
1100,815,5,57,17:02:25,30:53.568,1853568
1100,4,3,57,17:02:27,30:45.073,1845073
1100,840,3,57,17:02:29,30:45.925,1845925
